GLOBALEVENTID	EventTimeDate	MentionTimeDate	MentionType	MentionSourceName	MentionIdentifier	SentenceID	Actor1CharOffset	Actor2CharOffset	ActionCharOffset	InRawText	Confidence	MentionDocLen	MentionDocTone	MentionDocTranslationInfo	Extras
645040174	20170409080000	20170409080000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=10783	3	-1	678	618	0	60	701	-7.14285714285714		
637879318	20170317141500	20170317141500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=10525	3	815	791	829	1	100	952	-9.85915492957742		
679901655	20170809130000	20170809130000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=12162	2	277	-1	286	1	100	571	-8.69565217391304		
1050422996	20220621114500	20220621114500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=40564	5	863	895	879	0	80	1603	-7.86026200873363		
1049061484	20220612201500	20220612201500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=40402	16	3800	-1	3851	0	60	5905	-7.29281767955801		
1054422333	20220717064500	20220717064500	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=40984	1	147	-1	170	1	40	1520	-5.21739130434783		
1043395457	20220509130000	20220509130000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=39652	2	839	-1	939	0	80	1371	-9.62566844919786		
1038818151	20220411140000	20220411140000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=39213	1	147	292	237	1	100	1729	-12.0879120879121		
1043346526	20220509063000	20220509080000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=39642	3	-1	639	629	1	100	1122	-6.80272108843537		
1043390737	20220509123000	20220509130000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=39652	2	839	916	861	0	20	1371	-9.62566844919786		
1043395619	20220509130000	20220509130000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=39652	2	825	-1	925	1	20	1371	-9.62566844919786		
1043346933	20220509063000	20220509080000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=39642	3	639	-1	629	1	100	1122	-6.80272108843537		
1077146099	20221221160000	20221221160000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=43952	4	-1	1327	1348	1	100	2414	1.2012012012012		
1077146129	20221221160000	20221221160000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=43952	3	-1	1073	1119	1	100	2414	1.2012012012012		
1077146564	20221221160000	20221221160000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=43952	4	1327	-1	1348	1	100	2414	1.2012012012012		
1077146894	20221221160000	20221221160000	1	saps.gov.za	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=43952	3	1073	-1	1119	1	100	2414	1.2012012012012		
796474794	20181022103000	20181022103000	1	allafrica.com	https://allafrica.com/stories/201810220342.html	25	-1	5692	5683	1	40	7131	-3.3306255077173		
796474795	20181022103000	20181022103000	1	allafrica.com	https://allafrica.com/stories/201810220342.html	25	-1	5692	5683	1	60	7131	-3.3306255077173		
720556971	20180108073000	20180108141500	1	allafrica.com	http://allafrica.com/stories/201801080429.html	6	1402	-1	1420	1	100	2101	-7.90960451977401		
796475945	20181022103000	20181022103000	1	allafrica.com	https://allafrica.com/stories/201810220342.html	29	7204	-1	7292	1	100	7131	-3.3306255077173		
938822870	20200804100000	20200804100000	1	allafrica.com	https://allafrica.com/stories/202008040268.html	2	115	-1	185	0	40	769	-8.27586206896552		
954518497	20201111093000	20201111093000	1	allafrica.com	https://allafrica.com/stories/202011110427.html	6	-1	2314	2303	0	20	9109	-0.25889967637541		
796475256	20181022103000	20181022103000	1	allafrica.com	https://allafrica.com/stories/201810220342.html	11	2952	-1	3007	1	50	7131	-3.3306255077173		
949736786	20201001173000	20201001173000	1	allafrica.com	https://allafrica.com/stories/202010010816.html	2	82	281	173	0	60	1961	-7.29483282674771		
963049551	20210107003000	20210107104500	1	allafrica.com	https://allafrica.com/stories/202101070218.html	1	260	410	341	1	50	902	-9.61538461538462		
992370680	20210628104500	20210628143000	1	allafrica.com	https://allafrica.com/stories/202106280754.html	2	204	250	238	1	60	3262	-7.82918149466192		
992370652	20210628104500	20210628143000	1	allafrica.com	https://allafrica.com/stories/202106280754.html	2	204	256	238	0	40	3262	-7.82918149466192		
950298041	20201005160000	20201005160000	1	allafrica.com	https://allafrica.com/stories/202010050810.html	4	406	495	452	0	10	1661	-7.94223826714803		
954518469	20201111093000	20201111093000	1	allafrica.com	https://allafrica.com/stories/202011110427.html	16	-1	-1	5418	0	60	9109	-0.25889967637541		
950298412	20201005160000	20201005160000	1	allafrica.com	https://allafrica.com/stories/202010050810.html	4	495	415	452	1	40	1661	-7.94223826714803		
